period,DMA,sales
2021-09-05,"KANSAS CITY, MO",4.0
2021-09-05,"SACRAMENTO, CA",3.0
2021-09-05,"WICHITA FALLS, TX - LAWTON, OK",3.0
2021-09-05,"COLUMBIA-JEFFERSON CITY, MO",0.0
2021-09-05,"MONTEREY-SALINAS, CA",0.0
2021-09-05,"SAN ANTONIO, TX",0.0
2021-09-05,"LAFAYETTE, LA",0.0
2021-09-05,"FRESNO-VISALIA, CA",0.0
2021-09-05,"NEW YORK, NY",884.0
2021-09-05,No DMA,0.0
2021-10-17,"TULSA, OK",4.0
2021-10-17,"AUSTIN, TX",14.0
2021-10-17,"EUREKA, CA",6.0
2021-10-17,"HOUSTON, TX",27.0
2021-10-17,"LUBBOCK, TX",24.0
2021-10-17,"PHOENIX, AZ",42.0
2021-10-17,"AMARILLO, TX",15.0
2021-10-17,"VICTORIA, TX",11.0
2021-10-17,"JONESBORO, AR",10.0
2021-10-17,"ST JOSEPH, MO",10.0
2021-10-17,"ALEXANDRIA, LA",11.0
2021-10-17,"SAN ANGELO, TX",13.0
2021-10-17,"SHREVEPORT, LA",12.0
2021-10-17,"LITTLE ROCK, AR",12.0
2021-10-17,"PARKERSBERG, WV",8.0
2021-10-17,"SPRINGFIELD, MO",23.0
2021-10-17,"LAKE CHARLES, LA",18.0
2021-10-17,"OKLAHOMA CITY, OK",13.0
2021-10-17,"ODESSA-MIDLAND, TX",19.0
2021-10-17,"RALEIGH-DURHAM, NC",11.0
2021-10-17,"TYLER-LONGVIEW, TX",56.0
2021-10-17,"DALLAS, TX",33.0
2021-10-17,"WACO-TEMPLE, TX",23.0
2021-10-17,"ABILENE, TX",21.0
2021-10-17,"MONROE-ELDORADO, LA",3.0
2021-10-17,"CHARLESTON-HUNTINGTON, WV",45.0
2021-10-17,"GREENVILLE-NEW BERN, NC",27.0
2021-10-17,"BLUEFIELD-BECKLEY, WV",22.0
2021-10-17,"JOPLIN, MO - PITTSBURG, KS",0.0
2021-10-17,"WICHITA-HUTCHINSON, KS",0.0
2021-10-17,"CLARKSBURG-WESTON, WV",5.0
2021-10-17,"GREENWOOD-GREENVILLE, MS",9.0
2021-10-17,"COLUMBUS, OH",1.0
2021-10-17,"SPOKANE, WA",0.0
2021-10-17,"FT SMITH, AR",2.0
