"brand","dma","period","gross_add"
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-12-17,18
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-12-24,17
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2017-12-31,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-01-07,30
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-01-14,12
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-01-21,31
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-01-28,36
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-02-04,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-02-11,31
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-02-18,18
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-02-25,33
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-03-04,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-03-11,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-03-18,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-03-25,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-04-01,31
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-04-08,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-04-15,19
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-04-22,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-04-29,30
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-05-06,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-05-13,28
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-05-20,34
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-05-27,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-06-03,36
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-06-10,17
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-06-17,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-06-24,16
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-07-01,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-07-08,37
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-07-15,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-07-22,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-07-29,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-08-05,28
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-08-12,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-08-19,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-08-26,28
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-09-02,12
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-09-09,30
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-09-16,31
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-09-23,34
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-09-30,29
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-10-07,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-10-14,36
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-10-21,18
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-10-28,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-11-04,21
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-11-11,18
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-11-18,12
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-11-25,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-12-02,30
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-12-09,32
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-12-16,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-12-23,16
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2018-12-30,11
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-01-06,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-01-13,35
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-01-20,20
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-01-27,27
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-02-03,17
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-02-10,24
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-02-17,29
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-02-24,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-03-03,29
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-03-10,29
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-03-17,33
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-03-24,44
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-03-31,49
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-04-07,31
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-04-14,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-04-21,36
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-04-28,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-05-05,29
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-05-12,26
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-05-19,25
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-05-26,11
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-06-02,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-06-09,23
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-06-16,16
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-06-23,22
"Suddenlink","CHARLESTON-HUNTINGTON, WV",2019-06-30,15
