"brand","period","dma","sales"
"Suddenlink",2017-03-05,"ALEXANDRIA, LA",16
"Suddenlink",2017-03-12,"ALEXANDRIA, LA",17
"Suddenlink",2017-03-19,"ALEXANDRIA, LA",12
"Suddenlink",2017-03-26,"ALEXANDRIA, LA",22
"Suddenlink",2017-04-02,"ALEXANDRIA, LA",13
"Suddenlink",2017-04-09,"ALEXANDRIA, LA",14
"Suddenlink",2017-04-16,"ALEXANDRIA, LA",20
"Suddenlink",2017-04-23,"ALEXANDRIA, LA",17
"Suddenlink",2017-04-30,"ALEXANDRIA, LA",13
"Suddenlink",2017-05-07,"ALEXANDRIA, LA",19
"Suddenlink",2017-05-14,"ALEXANDRIA, LA",11
"Suddenlink",2017-05-21,"ALEXANDRIA, LA",8
"Suddenlink",2017-05-28,"ALEXANDRIA, LA",13
"Suddenlink",2017-06-04,"ALEXANDRIA, LA",20
"Suddenlink",2017-06-11,"ALEXANDRIA, LA",6
"Suddenlink",2017-06-18,"ALEXANDRIA, LA",10
"Suddenlink",2017-06-25,"ALEXANDRIA, LA",13
"Suddenlink",2017-07-02,"ALEXANDRIA, LA",10
"Suddenlink",2017-07-09,"ALEXANDRIA, LA",11
"Suddenlink",2017-07-16,"ALEXANDRIA, LA",10
"Suddenlink",2017-07-23,"ALEXANDRIA, LA",14
"Suddenlink",2017-07-30,"ALEXANDRIA, LA",16
"Suddenlink",2017-08-06,"ALEXANDRIA, LA",13
"Suddenlink",2017-08-13,"ALEXANDRIA, LA",29
"Suddenlink",2017-08-20,"ALEXANDRIA, LA",41
"Suddenlink",2017-08-27,"ALEXANDRIA, LA",14
"Suddenlink",2017-09-03,"ALEXANDRIA, LA",20
"Suddenlink",2017-09-10,"ALEXANDRIA, LA",28
"Suddenlink",2017-09-17,"ALEXANDRIA, LA",12
"Suddenlink",2017-09-24,"ALEXANDRIA, LA",15
"Suddenlink",2017-10-01,"ALEXANDRIA, LA",18
"Suddenlink",2017-10-08,"ALEXANDRIA, LA",11
"Suddenlink",2017-10-15,"ALEXANDRIA, LA",17
"Suddenlink",2017-10-22,"ALEXANDRIA, LA",25
"Suddenlink",2017-10-29,"ALEXANDRIA, LA",9
"Suddenlink",2017-11-05,"ALEXANDRIA, LA",9
"Suddenlink",2017-11-12,"ALEXANDRIA, LA",14
"Suddenlink",2017-11-19,"ALEXANDRIA, LA",5
"Suddenlink",2017-11-26,"ALEXANDRIA, LA",11
"Suddenlink",2017-12-03,"ALEXANDRIA, LA",20
"Suddenlink",2017-12-10,"ALEXANDRIA, LA",18
"Suddenlink",2017-12-17,"ALEXANDRIA, LA",15
"Suddenlink",2017-12-24,"ALEXANDRIA, LA",4
"Suddenlink",2017-12-31,"ALEXANDRIA, LA",11
"Suddenlink",2018-01-07,"ALEXANDRIA, LA",20
"Suddenlink",2018-01-14,"ALEXANDRIA, LA",10
"Suddenlink",2018-01-21,"ALEXANDRIA, LA",14
"Suddenlink",2018-01-28,"ALEXANDRIA, LA",8
"Suddenlink",2018-02-04,"ALEXANDRIA, LA",12
"Suddenlink",2018-02-11,"ALEXANDRIA, LA",16
"Suddenlink",2018-02-18,"ALEXANDRIA, LA",15
"Suddenlink",2018-02-25,"ALEXANDRIA, LA",16
"Suddenlink",2018-03-04,"ALEXANDRIA, LA",16
"Suddenlink",2018-03-11,"ALEXANDRIA, LA",13
"Suddenlink",2018-03-18,"ALEXANDRIA, LA",16
"Suddenlink",2018-03-25,"ALEXANDRIA, LA",11
"Suddenlink",2018-04-01,"ALEXANDRIA, LA",13
"Suddenlink",2018-04-08,"ALEXANDRIA, LA",17
"Suddenlink",2018-04-15,"ALEXANDRIA, LA",8
"Suddenlink",2018-04-22,"ALEXANDRIA, LA",20
"Suddenlink",2018-04-29,"ALEXANDRIA, LA",22
"Suddenlink",2018-05-06,"ALEXANDRIA, LA",20
"Suddenlink",2018-05-13,"ALEXANDRIA, LA",16
"Suddenlink",2018-05-20,"ALEXANDRIA, LA",12
"Suddenlink",2018-05-27,"ALEXANDRIA, LA",9
"Suddenlink",2018-06-03,"ALEXANDRIA, LA",9
"Suddenlink",2018-06-10,"ALEXANDRIA, LA",16
"Suddenlink",2018-06-17,"ALEXANDRIA, LA",20
"Suddenlink",2018-06-24,"ALEXANDRIA, LA",13
"Suddenlink",2018-07-01,"ALEXANDRIA, LA",13
"Suddenlink",2018-07-08,"ALEXANDRIA, LA",14
"Suddenlink",2018-07-15,"ALEXANDRIA, LA",18
"Suddenlink",2018-07-22,"ALEXANDRIA, LA",7
"Suddenlink",2018-07-29,"ALEXANDRIA, LA",17
"Suddenlink",2018-08-05,"ALEXANDRIA, LA",20
"Suddenlink",2018-08-12,"ALEXANDRIA, LA",4
"Suddenlink",2018-08-19,"ALEXANDRIA, LA",14
"Suddenlink",2018-08-26,"ALEXANDRIA, LA",7
"Suddenlink",2018-09-02,"ALEXANDRIA, LA",21
"Suddenlink",2018-09-09,"ALEXANDRIA, LA",16
"Suddenlink",2018-09-16,"ALEXANDRIA, LA",11
"Suddenlink",2018-09-23,"ALEXANDRIA, LA",14
"Suddenlink",2018-09-30,"ALEXANDRIA, LA",9
"Suddenlink",2018-10-07,"ALEXANDRIA, LA",12
"Suddenlink",2018-10-14,"ALEXANDRIA, LA",13
"Suddenlink",2018-10-21,"ALEXANDRIA, LA",16
"Suddenlink",2018-10-28,"ALEXANDRIA, LA",16
"Suddenlink",2018-11-04,"ALEXANDRIA, LA",9
"Suddenlink",2018-11-11,"ALEXANDRIA, LA",21
"Suddenlink",2018-11-18,"ALEXANDRIA, LA",11
"Suddenlink",2018-11-25,"ALEXANDRIA, LA",7
"Suddenlink",2018-12-02,"ALEXANDRIA, LA",11
"Suddenlink",2018-12-09,"ALEXANDRIA, LA",19
"Suddenlink",2018-12-16,"ALEXANDRIA, LA",12
"Suddenlink",2018-12-23,"ALEXANDRIA, LA",5
"Suddenlink",2018-12-30,"ALEXANDRIA, LA",11
"Suddenlink",2019-01-06,"ALEXANDRIA, LA",13
"Suddenlink",2019-01-13,"ALEXANDRIA, LA",8
"Suddenlink",2019-01-20,"ALEXANDRIA, LA",16
"Suddenlink",2019-01-27,"ALEXANDRIA, LA",11
"Suddenlink",2019-02-03,"ALEXANDRIA, LA",14
"Suddenlink",2019-02-10,"ALEXANDRIA, LA",7
"Suddenlink",2019-02-17,"ALEXANDRIA, LA",11
"Suddenlink",2019-02-24,"ALEXANDRIA, LA",13
"Suddenlink",2019-03-03,"ALEXANDRIA, LA",11
"Suddenlink",2019-03-10,"ALEXANDRIA, LA",17
"Suddenlink",2019-03-17,"ALEXANDRIA, LA",12
"Suddenlink",2019-03-24,"ALEXANDRIA, LA",25
"Suddenlink",2019-03-31,"ALEXANDRIA, LA",21
"Suddenlink",2019-04-07,"ALEXANDRIA, LA",52
"Suddenlink",2019-04-14,"ALEXANDRIA, LA",21
"Suddenlink",2019-04-21,"ALEXANDRIA, LA",18
"Suddenlink",2019-04-28,"ALEXANDRIA, LA",13
"Suddenlink",2019-05-05,"ALEXANDRIA, LA",16
"Suddenlink",2019-05-12,"ALEXANDRIA, LA",11
"Suddenlink",2019-05-19,"ALEXANDRIA, LA",15
"Suddenlink",2019-05-26,"ALEXANDRIA, LA",17
"Suddenlink",2019-06-02,"ALEXANDRIA, LA",12
"Suddenlink",2019-06-09,"ALEXANDRIA, LA",15
"Suddenlink",2019-06-16,"ALEXANDRIA, LA",9
"Suddenlink",2019-06-23,"ALEXANDRIA, LA",12
"Suddenlink",2019-06-30,"ALEXANDRIA, LA",11
"Suddenlink",2019-07-07,"ALEXANDRIA, LA",10
"Suddenlink",2019-07-14,"ALEXANDRIA, LA",21
"Suddenlink",2019-07-21,"ALEXANDRIA, LA",9
"Suddenlink",2019-07-28,"ALEXANDRIA, LA",21
"Suddenlink",2019-08-04,"ALEXANDRIA, LA",13
